code,fiscal_year,period,obligated
036,2025,2,73204838438.76
036,2025,3,104751918358.06
036,2025,4,137590917345.83
036,2025,5,168204230307.26
036,2025,6,200100587493.44
036,2025,7,235965180564.83
036,2025,8,268498840697.05
036,2025,9,302583864294.08
036,2025,10,336429478791.11
036,2025,11,372057723319.28
036,2025,12,412393503628.81
036,2026,2,77378680077.69
036,2026,3,118742674733.49
036,2026,4,155138142013.69
036,2026,5,189083149965.92
036,2026,6,224984891833.53
036,2026,7,264392338168.85
036,2026,8,298510700094.19
036,2026,9,333932040708.02
036,2026,10,371051747429.48
